"";"Program.kreditiranja";"Korisnik.kredita";"Odobreno.KN";"Godina";"OIB";"sus"
"1";"Gospodarstvo";"ADDIKO BANK D.D.";98875;NA;14036333877;0
"2";"Gospodarstvo";"ADDIKO BANK D.D.";2783729;NA;14036333877;0
"3";"Gospodarstvo";"ADDIKO BANK D.D.";1517018;NA;14036333877;0
"4";"Gospodarstvo";"ADDIKO BANK D.D.";6447328;NA;14036333877;0
"5";"Gospodarstvo";"ADDIKO BANK D.D.";3792546;NA;14036333877;0
"6";"Gospodarstvo";"ADDIKO BANK D.D.";7585092;NA;14036333877;0
"7";"Gospodarstvo";"ADDIKO BANK D.D.";3868397;NA;14036333877;0
"8";"Gospodarstvo";"ADDIKO BANK D.D.";6257701;NA;14036333877;0
"9";"Gospodarstvo";"ADDIKO BANK D.D.";5499191;NA;14036333877;0
"10";"Gospodarstvo";"ADDIKO BANK D.D.";1896273;NA;14036333877;0
"11";"Gospodarstvo";"ADDIKO BANK D.D.";4816533;NA;14036333877;0
"12";"Gospodarstvo";"ADDIKO BANK D.D.";2503080;NA;14036333877;0
"13";"Gospodarstvo";"ADDIKO BANK D.D.";3602919;NA;14036333877;0
"14";"Gospodarstvo";"ADDIKO BANK D.D.";3223664;NA;14036333877;0
"15";"Gospodarstvo";"ADDIKO BANK D.D.";3792546;NA;14036333877;0
"16";"Gospodarstvo";"ADDIKO BANK D.D.";3792546;NA;14036333877;0
"17";"Gospodarstvo";"ADDIKO BANK D.D.";7336369;NA;14036333877;0
"18";"Gospodarstvo";"ADDIKO BANK D.D.";1464924;NA;14036333877;0
"19";"Gospodarstvo";"ADDIKO BANK D.D.";2047975;NA;14036333877;0
"20";"Gospodarstvo";"ADDIKO BANK D.D.";10239874;NA;14036333877;0
"21";"Gospodarstvo";"ADDIKO BANK D.D.";6447328;NA;14036333877;0
"22";"Gospodarstvo";"ADDIKO BANK D.D.";1858347;NA;14036333877;0
"23";"Gospodarstvo";"ADDIKO BANK D.D.";5688819;NA;14036333877;0
"24";"Gospodarstvo";"ADDIKO BANK D.D.";1896273;NA;14036333877;0
"25";"Gospodarstvo";"ADDIKO BANK D.D.";1661520;NA;14036333877;0
"26";"Gospodarstvo";"ADDIKO BANK D.D.";2290534;NA;14036333877;0
"27";"Gospodarstvo";"ADDIKO BANK D.D.";3407982;NA;14036333877;0
"28";"Gospodarstvo";"ADDIKO BANK D.D.";1896273;NA;14036333877;0
"29";"Gospodarstvo";"ADDIKO BANK D.D.";4329115;NA;14036333877;0
"30";"Gospodarstvo";"ADDIKO BANK D.D.";3792546;NA;14036333877;0
"31";"Gospodarstvo";"ADDIKO BANK D.D.";1896273;NA;14036333877;0
"32";"Gospodarstvo";"ADDIKO BANK D.D.";2085900;NA;14036333877;0
"33";"Gospodarstvo";"ADDIKO BANK D.D.";10618007;NA;14036333877;0
"34";"Gospodarstvo";"ADDIKO BANK D.D.";7717831;NA;14036333877;0
"35";"Gospodarstvo";"ADDIKO BANK D.D.";1025784;NA;14036333877;0
"36";"Gospodarstvo";"ADDIKO BANK D.D.";13987091;NA;14036333877;0
"37";"Gospodarstvo";"ADDIKO BANK D.D.";4578118;NA;14036333877;0
"38";"Gospodarstvo";"ADDIKO BANK D.D.";9465899;NA;14036333877;0
"39";"Gospodarstvo";"ADDIKO BANK D.D.";3946347;NA;14036333877;0
"40";"Gospodarstvo";"ADDIKO BANK D.D.";3752519;NA;14036333877;0
"41";"Gospodarstvo";"ADDIKO BANK D.D.";2923746;NA;14036333877;0
"42";"Gospodarstvo";"ADDIKO BANK D.D.";2940272;NA;14036333877;0
"43";"Gospodarstvo";"ADDIKO BANK D.D.";1811293;NA;14036333877;0
"44";"Gospodarstvo";"ADDIKO BANK D.D.";16584340;NA;14036333877;0
"45";"Gospodarstvo";"ADDIKO BANK D.D.";25721317;NA;14036333877;0
"46";"Gospodarstvo";"ADDIKO BANK D.D.";7939800;NA;14036333877;0
"47";"Gospodarstvo";"ADDIKO BANK D.D.";3300000;NA;14036333877;0
"48";"Gospodarstvo";"ADDIKO BANK D.D.";1513001;NA;14036333877;0
"49";"Gospodarstvo";"ADDIKO BANK D.D.";148622028;NA;14036333877;0
"50";"Gospodarstvo";"ADDIKO BANK D.D.";36694017;NA;14036333877;0
"51";"Gospodarstvo";"ADDIKO BANK D.D.";13351635;NA;14036333877;0
"52";"Gospodarstvo";"ADDIKO BANK D.D.";3053108;NA;14036333877;0
"53";"Gospodarstvo";"ADDIKO BANK D.D.";22252725;NA;14036333877;0
"54";"Gospodarstvo";"ADDIKO BANK D.D.";2517638;NA;14036333877;0
"55";"Gospodarstvo";"ADDIKO BANK D.D.";111263623;NA;14036333877;0
"56";"Gospodarstvo";"ADDIKO BANK D.D.";7029430;NA;14036333877;0
"57";"Gospodarstvo";"ADDIKO BANK D.D.";12618049;NA;14036333877;0
"58";"Gospodarstvo";"ADDIKO BANK D.D.";3785415;NA;14036333877;0
"59";"Gospodarstvo";"ADDIKO BANK D.D.";9715171;NA;14036333877;0
"60";"Gospodarstvo";"ADDIKO BANK D.D.";30412057;NA;14036333877;0
"61";"Gospodarstvo";"ADDIKO BANK D.D.";15026065;NA;14036333877;0
"62";"Gospodarstvo";"ADDIKO BANK D.D.";14296473;NA;14036333877;0
"63";"Gospodarstvo";"ADDIKO BANK D.D.";7162568;NA;14036333877;0
"64";"Gospodarstvo";"ADDIKO BANK D.D.";22956271;NA;14036333877;0
"65";"Gospodarstvo";"ADDIKO BANK D.D.";943311;NA;14036333877;0
"66";"Gospodarstvo";"ADDIKO BANK D.D.";9642847;NA;14036333877;0
"67";"Gospodarstvo";"ADDIKO BANK D.D.";5964357;NA;14036333877;0
"68";"Gospodarstvo";"ADDIKO BANK D.D.";15100000;NA;14036333877;0
"69";"Gospodarstvo";"ADDIKO BANK D.D.";33850000;NA;14036333877;0
"70";"Gospodarstvo";"ADDIKO BANK D.D.";3,2e+07;NA;14036333877;0
"71";"Gospodarstvo";"ADDIKO BANK D.D.";40796662;NA;14036333877;0
"72";"Infrastruktura";"ADDIKO BANK D.D.";2e+06;NA;14036333877;0
"73";"Infrastruktura";"ADDIKO BANK D.D.";4217850;NA;14036333877;0
"74";"Infrastruktura";"ADDIKO BANK D.D.";4e+06;NA;14036333877;0
"75";"Infrastruktura";"ADDIKO BANK D.D.";1,3e+07;NA;14036333877;0
"76";"Infrastruktura";"ADDIKO BANK D.D.";350000;NA;14036333877;0
"77";"Infrastruktura";"ADDIKO BANK D.D.";4e+06;NA;14036333877;0
"78";"Infrastruktura";"ADDIKO BANK D.D.";8e+06;NA;14036333877;0
